disease,column_name,display_name,unit,normal_min,normal_max,sex_specific,male_normal_min,male_normal_max,female_normal_min,female_normal_max,direction_of_concern,mild_low_threshold,mild_high_threshold,critical_low_threshold,critical_high_threshold,label_0_normal,label_1_mild,label_2_critical,verified_source,clinical_notes
Diabetes,total_cholesterol,Total Cholesterol,mg/dL,NA,199,No,NA,NA,NA,NA,HIGH_BAD,NA,200,NA,240,< 200 mg/dL (desirable),200–239 mg/dL (borderline high),>= 240 mg/dL (high),NCEP ATP III / ADA 2024,"Secondary feature. Dyslipidaemia is key comorbidity of T2DM. Provides context for CVD risk calculation alongside LDL, HDL, TG."
Anemia,hemoglobin,Hemoglobin (Hgb / Hb),g/dL,NA,NA,Yes,13.0,17.5,12.0,15.5,LOW_BAD,10.0,NA,7.0,NA,>= 13.0 g/dL (men); >= 12.0 g/dL (women),10.0–12.9 g/dL (men) or 10.0–11.9 g/dL (women) — mild anaemia,< 7.0 g/dL (severe anaemia; transfusion often required),WHO 2011 Technical Report: Haemoglobin Concentrations for Diagnosis of Anaemia (WHO/NMH/NHD/MNM/11.1),Primary diagnostic criterion. Mild=10–12.9(M)/10–11.9(F); Moderate=7.0–9.9; Severe=5.0–6.9; Life-threatening <5.0. Pregnant women: mild <11.0 g/dL.
Anemia,hematocrit,Hematocrit (Hct / PCV),%,NA,NA,Yes,40,54,36,48,LOW_BAD,30,NA,21,NA,40–54% (men); 36–48% (women),30–39% (men); 30–35% (women),< 21% (severe — transfusion evaluation required),NHANES / Clinical laboratory reference ranges,Hematocrit ≈ 3× Hemoglobin value. Cross-check for anaemia. Hct < 21% typically requires transfusion. Part of standard CBC.
Anemia,rbc_count,Red Blood Cell Count (RBC),×10⁶/µL,NA,NA,Yes,4.5,5.9,4.0,5.2,LOW_BAD,3.5,NA,2.5,NA,4.5–5.9 ×10⁶/µL (men); 4.0–5.2 ×10⁶/µL (women),3.5–4.49 (men); 3.5–3.99 (women) ×10⁶/µL,< 2.5 ×10⁶/µL (aplastic anaemia / severe haemorrhage),NHANES / Clinical laboratory reference ranges,Low RBC = anaemia or blood loss. High RBC (>6.0M men/>5.5M women) = polycythaemia. Used with MCV to type anaemia.
Anemia,mcv,Mean Corpuscular Volume (MCV),fL,80,100,No,NA,NA,NA,NA,BOTH,75,100,60,115,80–100 fL (normocytic),75–79 fL (mild microcytic) OR 101–114 fL (mild macrocytic),< 60 fL (severe microcytic; thalassaemia) OR >= 115 fL (severe macrocytic),WHO / NHANES / Clinical laboratory reference ranges,Critical for anaemia typing: <80=microcytic (iron deficiency/thalassaemia); 80–100=normocytic (haemolysis/ACD); >100=macrocytic (B12/folate deficiency). Most important morphological marker. Present in Kaggle anemia dataset.
Anemia,mch,Mean Corpuscular Hemoglobin (MCH),pg,27,33,No,NA,NA,NA,NA,BOTH,25,33,20,40,27–33 pg,25–26.9 pg (hypochromic) OR 33.1–39.9 pg,< 20 pg (severe iron deficiency) OR >= 40 pg,NHANES / Clinical laboratory reference ranges,MCH = Hgb/RBC × 10. Low MCH = hypochromic = iron deficiency or thalassaemia. Closely correlated with MCV. In Kaggle anemia dataset.
Anemia,mchc,Mean Corpuscular Hgb Concentration (MCHC),g/dL,31.5,35.7,No,NA,NA,NA,NA,BOTH,30.0,35.7,28.0,36.5,31.5–35.7 g/dL,30.0–31.4 g/dL (mild hypochromic) OR 35.8–36.5 g/dL,< 28.0 g/dL (severe hypochromia) OR > 36.5 g/dL (spherocytosis),NHANES / Clinical laboratory reference ranges,MCHC = Hgb/Hct × 100. <30 = hypochromic (iron deficiency). >36.5 = hyperchromic (hereditary spherocytosis). Feature in Kaggle anemia dataset.
Anemia,rdw,Red Cell Distribution Width (RDW),%,11.5,14.5,No,NA,NA,NA,NA,HIGH_BAD,NA,14.5,NA,18.0,11.5–14.5%,14.6–18.0% (anisocytosis — mixed or early deficiency),> 18.0% (severe anisocytosis),NHANES / Clinical laboratory reference ranges,Measures RBC size variation. High RDW + low MCV = iron deficiency. High RDW + high MCV = B12/folate. Normal RDW + low MCV = thalassaemia (key differentiator). High RDW + normal MCV = mixed deficiency.
Anemia,serum_ferritin,Serum Ferritin,ng/mL,NA,NA,Yes,24,336,11,307,LOW_BAD,30,NA,10,NA,> 30 ng/mL (functional iron stores adequate),10–30 ng/mL (depleted iron stores — pre-latent iron deficiency),< 10 ng/mL (severely depleted — iron deficiency anaemia established),WHO 2011 / NHANES / Endocrine Society,Best single test for iron stores. WHO threshold for iron deficiency: <12 ng/mL (children/women). NOTE: acute phase reactant — falsely ELEVATED in infection/inflammation even with iron deficiency. Confirm with serum iron + TIBC.
Anemia,serum_iron,Serum Iron,µg/dL,NA,NA,Yes,65,175,50,170,LOW_BAD,60,NA,30,NA,65–175 µg/dL (men); 50–170 µg/dL (women),30–64 µg/dL (low serum iron — iron deficiency),< 30 µg/dL (severely depleted — overt iron deficiency),NHANES / Clinical laboratory reference ranges,Diurnal variation; not reliable alone. Use with TIBC and ferritin. Low iron + high TIBC + low ferritin = iron deficiency confirmed. In ACD (anaemia of chronic disease): iron low but TIBC also low.
Anemia,tibc,Total Iron Binding Capacity (TIBC),µg/dL,250,370,No,NA,NA,NA,NA,HIGH_BAD,NA,370,NA,450,250–370 µg/dL,370–450 µg/dL (elevated TIBC — iron deficiency),> 450 µg/dL (severely elevated — significant iron deficiency),NHANES / Clinical laboratory reference ranges,"TIBC inversely reflects iron stores. High TIBC = iron deficiency. LOW TIBC = anaemia of chronic disease (ACD), malnutrition, or protein deficiency. Critical differentiator between IDA and ACD."
Anemia,transferrin_saturation,Transferrin Saturation (TSAT),%,20,50,No,NA,NA,NA,NA,LOW_BAD,20,NA,10,NA,20–50%,10–19.9% (functional iron deficiency),< 10% (severe iron deficiency — erythropoiesis impaired),KDIGO 2012 / NHANES,TSAT = (Serum Iron / TIBC) × 100. < 20% = functional iron deficiency. < 16% = traditional iron deficiency cutoff. Key in CKD anaemia management (KDIGO target: TSAT > 30% before ESA therapy).
Anemia,vitamin_b12,Vitamin B12 (Cobalamin),pg/mL,200,900,No,NA,NA,NA,NA,LOW_BAD,300,NA,150,NA,>= 300 pg/mL,150–299 pg/mL (borderline — grey zone; confirm with MMA/homocysteine),< 150 pg/mL (true B12 deficiency — megaloblastic anaemia risk),AHA / Endocrine Society / NHANES laboratory standards,B12 deficiency → macrocytic megaloblastic anaemia + subacute combined degeneration of spinal cord. Very common in vegetarians/vegans and in India. Metformin depletes B12. Confirm with elevated MMA and homocysteine.
Anemia,serum_folate,Serum Folate (Folic Acid),ng/mL,2.7,17.0,No,NA,NA,NA,NA,LOW_BAD,4.0,NA,2.0,NA,>= 4.0 ng/mL,2.0–3.99 ng/mL (borderline folate deficiency),< 2.0 ng/mL (folate deficiency — megaloblastic anaemia risk),WHO / CDC / NHANES,Folate deficiency → macrocytic anaemia WITHOUT neurological symptoms (unlike B12). Critical in pregnancy (neural tube defect prevention — target > 4.0). RBC folate > 180 ng/mL better long-term indicator.
Anemia,reticulocyte_count,Reticulocyte Count,%,0.5,1.5,No,NA,NA,NA,NA,BOTH,0.5,1.5,0.2,5.0,0.5–1.5%,< 0.5% (hypoproliferative) OR 1.5–5.0% (haemolysis/recovery),< 0.2% (aplastic anaemia / PRCA) OR > 5.0% (severe haemolysis),NHANES / Clinical laboratory reference ranges,Immature RBCs. Low = bone marrow not producing enough (IDA/B12/aplastic). High = compensating (haemolysis/bleeding recovery). KEY for differentiating hypoproliferative vs haemolytic anaemia.
Anemia,wbc_count,White Blood Cell Count (WBC / TLC),×10³/µL,4.5,11.0,No,NA,NA,NA,NA,BOTH,3.5,11.0,2.0,30.0,4.5–11.0 ×10³/µL,3.5–4.4 (leukopenia) OR 11.1–30.0 (leukocytosis) ×10³/µL,< 2.0 (severe leukopenia/aplastic) OR > 30.0 (leukaemia concern) ×10³/µL,NHANES / Clinical laboratory reference ranges,Pancytopenia (low Hgb + low WBC + low PLT) = aplastic anaemia or haemolological malignancy. Low WBC in aplastic anaemia; elevated in infection-driven ACD. Important for anaemia type classification.
Anemia,platelet_count,Platelet Count (PLT / Thrombocytes),×10³/µL,150,400,No,NA,NA,NA,NA,BOTH,100,400,50,1000,150–400 ×10³/µL,100–149 (mild thrombocytopenia) OR 401–1000 (thrombocytosis) ×10³/µL,< 50 (severe thrombocytopenia — bleeding risk) OR > 1000 ×10³/µL,NHANES / Clinical laboratory reference ranges,Thrombocytopenia + anaemia = aplastic anaemia / bone marrow failure / ITP / DIC / hypersplenism. Included in Kaggle anemia dataset. Pancytopenia detection requires all three CBC lines.
CKD,egfr,Estimated GFR (CKD-EPI 2021 equation),mL/min/1.73m²,60,NA,No,NA,NA,NA,NA,LOW_BAD,30,NA,15,NA,>= 60 (G1–G2; normal to mildly decreased),30–59 (G3a–G3b; mildly to moderately–severely decreased),< 15 (G5; kidney failure),KDIGO 2022 CKD Clinical Practice Guideline,"Primary CKD staging marker. CKD = eGFR < 60 for >= 3 months OR albuminuria >= 30 mg/g for >= 3 months. Use 2021 race-free CKD-EPI equation. Calculated from serum creatinine, age, sex."
CKD,serum_creatinine,Serum Creatinine,mg/dL,NA,NA,Yes,0.74,1.35,0.59,1.04,HIGH_BAD,NA,1.35,NA,4.0,0.74–1.35 mg/dL (men); 0.59–1.04 mg/dL (women),1.36–4.0 mg/dL (elevated; CKD Stage 3–4),> 4.0 mg/dL (severe renal impairment; CKD Stage 5),KDIGO 2022 / NHANES 2017–2020 reference intervals,"Input for CKD-EPI eGFR equation. Affected by muscle mass (lower in elderly/women/malnourished → overestimates GFR). Use in conjunction with eGFR, not standalone."
CKD,bun,Blood Urea Nitrogen (BUN),mg/dL,7,20,No,NA,NA,NA,NA,HIGH_BAD,NA,21,NA,50,7–20 mg/dL,21–50 mg/dL (mild–moderate uraemia),> 50 mg/dL (severe uraemia; uraemic symptoms likely > 60–80),NHANES / Clinical laboratory reference ranges,BUN/Creatinine ratio: 10–20 = normal. > 20 = prerenal azotaemia (dehydration). < 10 = liver disease/malnutrition. Urea itself is 2.14× BUN value.
CKD,uacr,Urine Albumin-Creatinine Ratio (UACR),mg/g,NA,29,No,NA,NA,NA,NA,HIGH_BAD,NA,30,NA,300,< 30 mg/g (A1 — normal to mildly increased),30–300 mg/g (A2 — moderately increased; microalbuminuria),> 300 mg/g (A3 — severely increased; macroalbuminuria),KDIGO 2022 CKD Clinical Practice Guideline,"Albuminuria categories per KDIGO 2022: A1 (<30), A2 (30–300), A3 (>300). Combined with GFR for CKD risk staging. Spot urine (first morning void preferred). Confirm on 2 of 3 samples."
CKD,uric_acid,Serum Uric Acid,mg/dL,NA,NA,Yes,3.5,7.2,2.6,6.0,HIGH_BAD,NA,7.2,NA,10.0,3.5–7.2 mg/dL (men); 2.6–6.0 mg/dL (women),>= 7.2 mg/dL men; >= 6.0 mg/dL women (hyperuricaemia — gout risk),> 10.0 mg/dL (severe hyperuricaemia; urate nephropathy risk),ACR Gout Guidelines 2020 / NHANES,"Hyperuricaemia common in CKD (reduced renal excretion) and precipitates gout. Uric acid is nephrotoxic at high levels. Also elevated in metabolic syndrome, thiazide use, dehydration."
CKD,serum_albumin,Serum Albumin,g/dL,3.5,5.0,No,NA,NA,NA,NA,LOW_BAD,3.5,NA,3.0,NA,3.5–5.0 g/dL,3.0–3.49 g/dL (mild hypoalbuminaemia — malnutrition / early nephrotic),< 3.0 g/dL (severe — poor CKD prognosis; nephrotic syndrome),KDIGO 2022 / NHANES / AASLD 2023,Reflects hepatic synthetic function AND nutritional status. Low albumin in CKD = protein loss (nephrotic) + inflammation + malnutrition. Major prognostic marker in CKD. Also used in liver model.
CKD,potassium,Serum Potassium (K+),mEq/L,3.5,5.0,No,NA,NA,NA,NA,BOTH,3.5,5.0,2.5,6.0,3.5–5.0 mEq/L,3.0–3.49 (mild hypokalaemia) OR 5.1–6.0 (mild hyperkalaemia — common in CKD),< 2.5 (severe hypokalaemia; arrhythmia risk) OR > 6.0 (severe hyperkalaemia; cardiac arrest risk),KDIGO 2022 / Clinical laboratory reference ranges,Hyperkalaemia is one of the most dangerous CKD complications. eGFR < 45 → monitor K+ every 3 months. > 6.0 mEq/L = medical emergency. ACE inhibitors / ARBs + CKD raise K+ further.
CKD,sodium,Serum Sodium (Na+),mEq/L,136,145,No,NA,NA,NA,NA,BOTH,130,145,125,155,136–145 mEq/L,130–135 (mild hyponatraemia) OR 146–155 (mild hypernatraemia),< 125 (severe hyponatraemia; seizure risk) OR > 155 (severe hypernatraemia),NHANES / Clinical laboratory reference ranges,Hyponatraemia common in advanced CKD (fluid retention). SIADH must be excluded. Rapid correction of hyponatraemia → osmotic demyelination syndrome. Correct slowly (< 8–10 mEq/L per 24 hr).
CKD,bicarbonate,Serum Bicarbonate (CO2),mEq/L,22,29,No,NA,NA,NA,NA,LOW_BAD,22,NA,15,NA,22–29 mEq/L,18–21.9 mEq/L (mild metabolic acidosis — CKD Stage 3+),< 15 mEq/L (severe metabolic acidosis — CKD Stage 4–5),KDIGO 2022 / Clinical laboratory reference ranges,Metabolic acidosis is universal in advanced CKD due to reduced acid excretion. Bicarbonate < 22 mEq/L accelerates CKD progression and bone disease. KDIGO recommends supplementation when < 22.
CKD,phosphorus,Serum Phosphorus (PO4),mg/dL,2.5,4.5,No,NA,NA,NA,NA,HIGH_BAD,NA,4.5,NA,6.5,2.5–4.5 mg/dL,4.6–6.5 mg/dL (hyperphosphataemia — CKD Stage 3b+),> 6.5 mg/dL (severe hyperphosphataemia; vascular calcification risk),KDIGO 2017 CKD-MBD Guidelines,"Elevated in CKD due to reduced renal excretion. Causes secondary hyperparathyroidism, renal osteodystrophy, vascular calcification. Dietary phosphate restriction required > 4.5 mg/dL."
CKD,calcium,Serum Calcium (Total),mg/dL,8.5,10.5,No,NA,NA,NA,NA,BOTH,8.5,10.5,7.0,12.0,8.5–10.5 mg/dL,8.0–8.49 (mild hypocalcaemia — CKD-MBD) OR 10.6–12.0 (mild hypercalcaemia),< 7.0 (severe hypocalcaemia; tetany) OR > 12.0 (hypercalcaemic crisis),KDIGO 2017 CKD-MBD / Clinical laboratory reference ranges,Correct for albumin: corrected Ca = measured Ca + 0.8 × (4.0 − albumin). Hypocalcaemia in CKD from reduced vitamin D + hyperphosphataemia. Must measure ionised calcium if albumin is low.
CKD,hemoglobin,Hemoglobin (Renal Anaemia),g/dL,NA,NA,Yes,13.0,17.5,12.0,15.5,LOW_BAD,11.0,NA,8.0,NA,>= 13.0 g/dL (men); >= 12.0 g/dL (women),11.0–12.9 g/dL (men); 11.0–11.9 g/dL (women) — CKD anaemia,< 8.0 g/dL (severe renal anaemia; ESA therapy indicated),KDIGO 2012 Anaemia of CKD Guideline,Normocytic normochromic anaemia of CKD due to EPO deficiency (reduced production by diseased kidney). KDIGO: start ESA when Hgb < 10 g/dL in CKD. Target Hgb 10–11.5 g/dL with ESA. Exclude iron deficiency first.
CKD,pth,Parathyroid Hormone (PTH),pg/mL,10,65,No,NA,NA,NA,NA,HIGH_BAD,NA,65,NA,300,10–65 pg/mL,65–300 pg/mL (secondary hyperparathyroidism — CKD Stage 3+),> 300 pg/mL (severe secondary hyperPTH — CKD Stage 4–5),KDIGO 2017 CKD-MBD Guidelines,Secondary hyperPTH = compensatory response to hypocalcaemia + hyperphosphataemia + low vitamin D in CKD. PTH target in dialysis patients: 2–9× upper limit of normal (KDIGO). Drives renal osteodystrophy.
Cardiovascular_Risk,ldl,LDL Cholesterol (Low-Density Lipoprotein),mg/dL,NA,99,No,NA,NA,NA,NA,HIGH_BAD,NA,130,NA,190,< 100 mg/dL (optimal),130–189 mg/dL (borderline to high; Framingham risk elevated),>= 190 mg/dL (very high; familial hypercholesterolaemia),AHA/ACC 2019 Guideline on Primary Prevention of CVD / ACC/AHA 2018 Cholesterol Guideline,Primary CVD risk marker. Friedewald: LDL = Total_Chol − HDL − (TG/5); invalid if TG > 400 mg/dL — use direct LDL. Thresholds: <70 very high risk; <100 high risk; <130 moderate risk (AHA/ACC 2018).
Cardiovascular_Risk,hdl,HDL Cholesterol (High-Density Lipoprotein),mg/dL,NA,NA,Yes,40,NA,50,NA,LOW_BAD,35,NA,30,NA,>= 60 mg/dL (cardioprotective); 40–59 (men); 50–59 (women) normal,35–39 mg/dL (men); 40–49 mg/dL (women) — low HDL (CVD risk),< 35 mg/dL (men); < 40 mg/dL (women) — very low (strong risk factor),AHA/ACC 2019 / NCEP ATP III,"HDL < 40 (men) / < 50 (women) = metabolic syndrome criterion. >= 60 mg/dL = negative risk factor (protective). HDL inversely correlates with CVD events. Elevated by exercise, moderate alcohol, niacin."
Cardiovascular_Risk,total_cholesterol,Total Cholesterol,mg/dL,NA,199,No,NA,NA,NA,NA,HIGH_BAD,NA,200,NA,240,< 200 mg/dL (desirable),200–239 mg/dL (borderline high),>= 240 mg/dL (high; doubled CVD risk vs < 200),NCEP ATP III / AHA/ACC 2019,"Input for Framingham and PCE (Pooled Cohort Equations) 10-year CVD risk score. TC alone not sufficient; use with LDL, HDL, TG. TC/HDL ratio > 5.0 is independent risk predictor."
Cardiovascular_Risk,triglycerides,Triglycerides (Fasting),mg/dL,NA,149,No,NA,NA,NA,NA,HIGH_BAD,NA,150,NA,500,< 150 mg/dL (normal),150–499 mg/dL (borderline to high; independent CVD risk factor),>= 500 mg/dL (very high; pancreatitis risk),AHA/ACC 2019 / Endocrine Society 2012 Hypertriglyceridaemia Guideline,"Fasting sample. Elevated TG = metabolic syndrome, T2DM, hypothyroidism. TG 150–199 borderline; 200–499 high; >= 500 very high (chylomicronaemia + pancreatitis). At >400, Friedewald LDL formula invalid."
Cardiovascular_Risk,non_hdl_cholesterol,Non-HDL Cholesterol (Total Chol − HDL),mg/dL,NA,129,No,NA,NA,NA,NA,HIGH_BAD,NA,130,NA,190,< 130 mg/dL (optimal),130–189 mg/dL (above optimal; secondary target),>= 190 mg/dL (very high; familial hypercholesterolaemia range),AHA/ACC 2018 / NCEP ATP III,Calculated: Non-HDL = Total_Chol − HDL. Includes all atherogenic particles (LDL + VLDL + IDL + Lp(a)). Better predictor than LDL when TG > 200. Non-HDL target = LDL target + 30 mg/dL.
Cardiovascular_Risk,hscrp,High-Sensitivity CRP (hsCRP),mg/L,NA,1.0,No,NA,NA,NA,NA,HIGH_BAD,NA,1.0,NA,3.0,< 1.0 mg/L (low CVD risk),1.0–3.0 mg/L (average CVD risk; intermediate zone),> 3.0 mg/L (high CVD risk); > 10 = acute phase (rule out infection),AHA/ACC 2003 Scientific Statement on hsCRP / Reynolds Risk Score,"Inflammatory marker that independently predicts CVD events. JUPITER trial: statins reduced events in hsCRP > 2 + LDL < 130. If > 10 mg/L, repeat after 2 weeks to exclude acute infection/inflammation."
Cardiovascular_Risk,apolipoprotein_b,Apolipoprotein B (ApoB),mg/dL,NA,99,No,NA,NA,NA,NA,HIGH_BAD,NA,100,NA,130,< 80 mg/dL (optimal for high-risk patients); < 100 mg/dL (normal),100–129 mg/dL (elevated; above optimal),>= 130 mg/dL (high; strong predictor of atherosclerosis),EAS/EFLM Consensus 2022 / ACC/AHA 2018,Each ApoB = one atherogenic lipoprotein particle. Better predictor of CVD than LDL-C especially when TG elevated or LDL-C discordant. European guidelines increasingly recommend ApoB over LDL-C.
Cardiovascular_Risk,lipoprotein_a,Lipoprotein(a) — Lp(a),mg/dL,NA,29,No,NA,NA,NA,NA,HIGH_BAD,NA,30,NA,50,< 30 mg/dL,30–50 mg/dL (borderline elevated; moderate CVD risk increase),> 50 mg/dL (high; independent strong CVD and ASCVD risk factor),EAS Consensus on Lp(a) 2022 / ACC/AHA 2018 Cholesterol Guideline,"Genetically determined; unaffected by diet. Measure once in lifetime. Elevated in >20% of South Asian population. New specific therapies (inclisiran, PCSK9i) are modestly effective. Convert nmol/L × 0.43 = mg/dL."
Cardiovascular_Risk,homocysteine,Total Homocysteine,µmol/L,5,15,No,NA,NA,NA,NA,HIGH_BAD,NA,15,NA,30,5–15 µmol/L,15–30 µmol/L (mild hyperhomocysteinaemia — CVD risk),> 30 µmol/L (severe — very high thrombosis + CVD risk),AHA / NHANES / European CVD Prevention Guidelines 2021,"Elevated by B12/folate/B6 deficiency, CKD, hypothyroidism, smoking. Treated with B vitamin supplementation. Common in vegetarians. Independently associated with CVD, stroke, and VTE."
Cardiovascular_Risk,fasting_glucose,Fasting Plasma Glucose (CVD context),mg/dL,70,99,No,NA,NA,NA,NA,HIGH_BAD,NA,100,NA,126,70–99 mg/dL,100–125 mg/dL (IFG — prediabetes; CVD risk elevated),>= 126 mg/dL (diabetes; 2–4× elevated CVD risk),AHA/ACC 2019 / ADA 2024,Included as CVD risk factor. Diabetes = major independent CVD risk equivalent. Prediabetes already elevates CVD risk. Fasting glucose integrated into PCE risk calculator.
Cardiovascular_Risk,systolic_bp,Systolic Blood Pressure,mmHg,NA,129,No,NA,NA,NA,NA,HIGH_BAD,NA,130,NA,180,< 130 mmHg (ACC/AHA 2017 target),130–179 mmHg (Stage 1–2 hypertension; significant CVD risk),>= 180 mmHg (Stage 3 / hypertensive urgency–emergency),AHA/ACC 2017 Hypertension Guideline,Not a blood test but most important modifiable CVD risk factor. Included in 10-year ASCVD risk (PCE) calculation. Measurement: 2+ readings on 2+ occasions. Target < 130/80 for high CVD risk patients.
Liver_Disease,alt_sgpt,ALT (SGPT — Alanine Aminotransferase),U/L,NA,NA,Yes,7,40,7,35,HIGH_BAD,NA,40,NA,120,< 40 U/L (men); < 35 U/L (women),40–120 U/L (1–3× ULN — mild hepatocellular injury),> 120 U/L (> 3× ULN — significant hepatocellular injury),AASLD 2023 Practice Guidelines / EASL 2023,"MOST liver-specific transaminase. AASLD 2023 updated normal limits: 29–33 U/L men; 19–25 U/L women (lower than traditional 40 U/L). 3–10× ULN = moderate; >10× ULN = severe hepatitis (viral, autoimmune, ischaemic). ALT elevation pattern: >AST in viral/NAFLD; AST>ALT in alcoholic hepatitis."
